count	type	name	props	nodeId
9915	SET	table	Title:T Body:T Show badge__number:B Type(2) Contents(11) Hover(2)	288:27085
2445	SET	table_2	Title:T Body:T Type(2) style(10)	10024:68802
1443	SET	LNB Menu	more:B new:B 2 depth:T 3 depth:T 4 depth:T shape(3) on/ off(3) Type(2)	9935:34366
1124	SET	button	Label:T Show left icon:B Show right icon:B ↪️ swap(r):I ↪️ swap(l):I Type(4) Size(5) State(4)	305:2236
818	SET	radio_button	label:T Help text:B Label:B Size(2) Check(2) State(2)	313:27198
454	SET	icon_size	{icon}:I size(6)	285:704
446	SET	badge	Label:T Type(3) Color(8) State(2) Size(3)	361:44254
352	SET	checkbox	label:T Help text:B Label:B Size(2) Check(3) State(2)	309:25967
303	CMP	Input Label	필수항목:B Label:T	10509:84341
263	CMP	scroll-bar		9995:33856
230	SET	Text Field	Icon:B Text:T TXT:B Time:B 단위:B X ico:B icon:I Status(5)	10392:61444
208	SET	text_input	Placeholder:T ↪️Label:T Alert:B Label:B Icon:B Hint:B Size(2) Style(2) State(6)	286:25890
197	SET	selectbox	Placeholder:T ↪️Label:T Hint:B Label:B Alert:B Size(2) Style(2) State(6)	288:26192
173	SET	header_templet__pc	Property 1(2)	10572:41456
154	SET	footer_tab	Property 1(2)	10528:49846
150	CMP	Page Title	Title:T	10017:2972
149	CMP	1 depth Ti		10024:27686
124	CMP	.section_header	Description:T Title:T	4828:141070
115	SET	   	Property 1(2)	10601:106296
87	CMP	+ -		10763:114205
86	SET	check list	Property 1(4)	10635:71234
84	SET	Grid Title	Title:T 검색조건:B 추가 버튼:B 삭제 버튼:B 저장 버튼:B Property 1(3)	10392:53449
82	SET	file_upload__atomic__pc	Text:T error:T State(5)	343:55064
80	CMP	pagination bar	Total:B	10574:59017
80	SET	text_area	Placeholder:T Show label:B Show counter:B Hint:B Alert:B State(6)	343:43306
79	SET	Popup Title	X:B Title:T Property 1(2)	10607:49243
75	SET	button_text	label:T Show left icon:B Show right icon:B ↪️ swap(l_l):I ↪️ swap(r_l):I Size(4) State(4)	300:26102
72	SET	Grid Handler	Property 1(2)	10020:28972
59	SET	부서영역	3:B 상세조회:B Property 1(2)	11453:112276
56	SET	button_link	label:T Show right icon:B ↪️ swap(r):I Type(3) Size(3) State(5)	306:26203
